pick,team,plyr,pos,author,site
21,PHI,Tee Higgins,WR,charles-davis,nfl.com
22,MIN,Xavier McKinney,S,charles-davis,nfl.com
23,NE,Jordan Love,QB,charles-davis,nfl.com
24,NO,Patrick Queen,LB,charles-davis,nfl.com
25,MIN,Justin Jefferson,WR,charles-davis,nfl.com
26,MIA,D'Andre Swift,RB,charles-davis,nfl.com
27,SEA,Yetur Gross-Matos,Edge,charles-davis,nfl.com
28,BAL,Kenneth Murray,LB,charles-davis,nfl.com
29,TEN,Joshua Jones,OT,charles-davis,nfl.com
30,GB,Laviska Shenault,WR,charles-davis,nfl.com
31,SF,Brandon Aiyuk,WR,charles-davis,nfl.com
32,KC,Zack Baun,LB,charles-davis,nfl.com
1,CIN,Joe Burrow,QB,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
2,WAS,Chase Young,Edge,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
3,DET,Jeff Okudah,CB,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
4,NYG,Jedrick Wills,OT,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
5,MIA,Tua Tagovailoa,QB,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
6,LAC,Justin Herbert,QB,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
7,CAR,Isaiah Simmons,LB/S,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
8,ARI,Derrick Brown,DT,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
9,JAC,Javon Kinlaw,DT,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
10,CLE,Mekhi Becton,OT,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
11,NYJ,Tristan Wirfs,OT,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
12,OAK,Jerry Jeudy,WR,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
13,SF,CeeDee Lamb,WR,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
14,TB,Andrew Thomas,OT,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
15,DEN,Kenneth Murray,LB,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
