pick,team,plyr,pos,author,site
21,PHI,Denzel Mims,WR,Pete Prisco,cbs.com
22,MIN,K'Lavon Chaisson,EDGE,Pete Prisco,cbs.com
23,NE,A.J. Epenesa,EDGE,Pete Prisco,cbs.com
24,NO,Kenneth Murray,LB,Pete Prisco,cbs.com
25,MIN,Kristian Fulton,CB,Pete Prisco,cbs.com
26,MIA,Tee Higgins,WR,Pete Prisco,cbs.com
27,SEA,Yetur Gross-Matos,EDGE,Pete Prisco,cbs.com
28,BAL,Patrick Queen,LB,Pete Prisco,cbs.com
29,TEN,Zack Baun,LB,Pete Prisco,cbs.com
30,GB,Cole Kmet,TE,Pete Prisco,cbs.com
31,SF,Damon Arnette,CB,Pete Prisco,cbs.com
32,KC,Noah Igbinoghene,CB,Pete Prisco,cbs.com
1,CIN,Joe Burrow,QB,Will Brinson,cbs.com
2,WAS,Tua Tagovailoa,QB,Will Brinson,cbs.com
3,DET,Chase Young,EDGE,Will Brinson,cbs.com
4,NYG,Mekhi Becton,OL,Will Brinson,cbs.com
5,MIA,Justin Herbert,QB,Will Brinson,cbs.com
6,LAC,Jeff Okudah,CB,Will Brinson,cbs.com
7,CAR,Isaiah Simmons,LB,Will Brinson,cbs.com
8,ARI,Tristan Wirfs,OL,Will Brinson,cbs.com
9,JAC,Derrick Brown,DL,Will Brinson,cbs.com
10,CLE,Jedrick Wills Jr.,OL,Will Brinson,cbs.com
11,NYJ,Henry Ruggs III,WR,Will Brinson,cbs.com
12,LV,Jerry Jeudy,WR,Will Brinson,cbs.com
13,DEN,CeeDee Lamb,WR,Will Brinson,cbs.com
14,TB,Andrew Thomas,OL,Will Brinson,cbs.com
15,SF,Javon Kinlaw,DL,Will Brinson,cbs.com
16,ATL,CJ Henderson,CB,Will Brinson,cbs.com
17,DAL,Yetur Gross-Matos,EDGE,Will Brinson,cbs.com
18,MIA,Josh Jones,OL,Will Brinson,cbs.com
19,LV,Trevon Diggs,CB,Will Brinson,cbs.com
20,JAC,Jordan Love,QB,Will Brinson,cbs.com
21,PHI,Justin Jefferson,WR,Will Brinson,cbs.com
22,MIN,Kristian Fulton,CB,Will Brinson,cbs.com
23,NE,K'Lavon Chaisson,EDGE,Will Brinson,cbs.com
24,NO,Patrick Queen,LB,Will Brinson,cbs.com
25,MIN,Jalen Reagor,WR,Will Brinson,cbs.com
26,MIA,Xavier McKinney,S,Will Brinson,cbs.com
27,SEA,Zack Baun,LB,Will Brinson,cbs.com
28,BAL,Kenneth Murray,LB,Will Brinson,cbs.com
29,TEN,D'Andre Swift,RB,Will Brinson,cbs.com
30,GB,Brandon Aiyuk,WR,Will Brinson,cbs.com
31,SF,Laviska Shenault Jr.,WR,Will Brinson,cbs.com
32,KC,A.J. Terrell,CB,Will Brinson,cbs.com
1,CIN,Joe Burrow,QB,Josh Edwards,cbs.com
2,WAS,Chase Young,EDGE,Josh Edwards,cbs.com
3,MIA,Tua Tagovailoa,QB,Josh Edwards,cbs.com
4,NYG,Tristan Wirfs,OL,Josh Edwards,cbs.com
5,DET,Jeff Okudah,CB,Josh Edwards,cbs.com
6,LAC,Justin Herbert,QB,Josh Edwards,cbs.com
7,CAR,Isaiah Simmons,LB,Josh Edwards,cbs.com
8,ARI,Jedrick Wills Jr.,OL,Josh Edwards,cbs.com
9,JAC,Jordan Love,QB,Josh Edwards,cbs.com
10,CLE,Andrew Thomas,OL,Josh Edwards,cbs.com
11,NYJ,Mekhi Becton,OL,Josh Edwards,cbs.com
12,LV,Derrick Brown,DL,Josh Edwards,cbs.com
13,SF,CeeDee Lamb,WR,Josh Edwards,cbs.com
14,JAC,Javon Kinlaw,DL,Josh Edwards,cbs.com
15,DEN,Henry Ruggs III,WR,Josh Edwards,cbs.com
16,LV,Jerry Jeudy,WR,Josh Edwards,cbs.com
17,DAL,CJ Henderson,CB,Josh Edwards,cbs.com
18,MIA,Josh Jones,OL,Josh Edwards,cbs.com
19,ATL,K'Lavon Chaisson,EDGE,Josh Edwards,cbs.com
20,TB,Ezra Cleveland,OL,Josh Edwards,cbs.com
21,PHI,Justin Jefferson,WR,Josh Edwards,cbs.com
22,MIN,Kenneth Murray,LB,Josh Edwards,cbs.com
23,NE,Patrick Queen,LB,Josh Edwards,cbs.com
24,NO,Cole Kmet,TE,Josh Edwards,cbs.com
25,MIN,A.J. Terrell,CB,Josh Edwards,cbs.com
26,MIA,A.J. Epenesa,EDGE,Josh Edwards,cbs.com
27,SEA,Yetur Gross-Matos,EDGE,Josh Edwards,cbs.com
28,BAL,Zack Baun,LB,Josh Edwards,cbs.com
29,TEN,Xavier McKinney,S,Josh Edwards,cbs.com
30,GB,Neville Gallimore,DL,Josh Edwards,cbs.com
31,LAC,Austin Jackson,OL,Josh Edwards,cbs.com
32,KC,Jeff Gladney,CB,Josh Edwards,cbs.com
1,CIN,Joe Burrow,QB,R.J. White,cbs.com
2,WAS,Chase Young,EDGE,R.J. White,cbs.com
3,JAC,Tua Tagovailoa,QB,R.J. White,cbs.com
4,NYG,Isaiah Simmons,LB,R.J. White,cbs.com
5,MIA,Tristan Wirfs,OL,R.J. White,cbs.com
6,LAC,Justin Herbert,QB,R.J. White,cbs.com
7,CAR,Jeff Okudah,CB,R.J. White,cbs.com
8,MIA,Jordan Love,QB,R.J. White,cbs.com
9,DET,Derrick Brown,DL,R.J. White,cbs.com
10,CLE,Andrew Thomas,OL,R.J. White,cbs.com
11,NYJ,Jedrick Wills Jr.,OL,R.J. White,cbs.com
